,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,A,P3,,,Gartnerhaugveien 1,0,0,Andre,Eldre,100,0,0,10.442133,63.4513,False,False,False,False,False,False,0,0,False,[1.59808 1.54784 1.59536 ... 1.85435 1.84092 1.85205],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[1.5189  1.47131 1.52062 ... 1.74431 1.74546 1.76025],[0.07918 0.07653 0.07474 ... 0.11004 0.09546 0.0918 ],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],0,0,0,0,0,0,0,[2.56442 2.47968 2.52455 ... 2.87001 2.84895 2.81654],25900.0,2.0,3.0,12525.97262,0,0,13373.4045,0,0,0,0.50595,0,0,1.363,0,0,0,0.7576499999999999,0,0,2.0705,0,0,0,Referansesituasjon
1,2,A,P3,,,Gartnerhaugveien 1,0,0,Andre,Eldre,100,0,0,10.442183,63.451341,False,False,False,False,True,False,0,0,False,[1.59808 1.54784 1.59536 ... 1.85435 1.84092 1.85205],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[1.5189  1.47131 1.52062 ... 1.74431 1.74546 1.76025],[0.07918 0.07653 0.07474 ... 0.11004 0.09546 0.0918 ],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],0,0,0,0,0,0,0,[2.56442 2.47968 2.52455 ... 2.87001 2.84895 2.81654],25900.0,2.0,3.0,12525.97262,0,0,13373.4045,0,0,0,0.50595,0,0,1.363,0,0,0,0.7576499999999999,0,0,2.0705,0,0,0,Referansesituasjon
2,3,A,P3,,,Gartnerhaugveien 1,0,0,Andre,Eldre,100,0,0,10.442243,63.451378,False,False,False,False,True,False,0,0,False,[1.59808 1.54784 1.59536 ... 1.85435 1.84092 1.85205],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],[1.5189  1.47131 1.52062 ... 1.74431 1.74546 1.76025],[0.07918 0.07653 0.07474 ... 0.11004 0.09546 0.0918 ],[0.96634 0.93184 0.92919 ... 1.01566 1.00803 0.96449],0,0,0,0,0,0,0,[2.56442 2.47968 2.52455 ... 2.87001 2.84895 2.81654],25900.0,2.0,3.0,12525.97262,0,0,13373.4045,0,0,0,0.50595,0,0,1.363,0,0,0,0.7576499999999999,0,0,2.0705,0,0,0,Referansesituasjon
3,4,A,P3,,,Østmarkveien 28U,0,0,Andre,Eldre,730,0,0,10.444495,63.451755,False,False,False,False,True,False,0,0,False,[11.665984 11.299232 11.646128 ... 13.536755 13.438716 13.519965],[7.054282 6.802432 6.783087 ... 7.414318 7.358619 7.040777],[11.08797  10.740563 11.100526 ... 12.733463 12.741858 12.849825],[0.578014 0.558669 0.545602 ... 0.803292 0.696858 0.67014 ],[7.054282 6.802432 6.783087 ... 7.414318 7.358619 7.040777],0,0,0,0,0,0,0,[18.720266 18.101664 18.429215 ... 20.951073 20.797335 20.560742],189100.0,14.0,21.0,91439.600126,0,0,97625.85285,0,0,0,3.693435,0,0,9.9499,0,0,0,5.530845,0,0,15.114650000000001,0,0,0,Referansesituasjon
4,5,A,P3,,,Østmarkveien 26F,0,0,Andre,Eldre,2000,0,0,10.445724,63.451774,False,False,False,False,True,False,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],0,0,0,0,0,0,0,[51.2884 49.5936 50.491  ... 57.4002 56.979  56.3308],518000.0,37.0,57.0,250519.45239999998,0,0,267468.09,0,0,0,10.119,0,0,27.259999999999998,0,0,0,15.153,0,0,41.410000000000004,0,0,0,Referansesituasjon
5,6,A,P3,,,Østmarkveien 26,0,0,Andre,Eldre,2000,0,0,10.446209,63.451881,False,False,False,False,True,False,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],0,0,0,0,0,0,0,[51.2884 49.5936 50.491  ... 57.4002 56.979  56.3308],518000.0,37.0,57.0,250519.45239999998,0,0,267468.09,0,0,0,10.119,0,0,27.259999999999998,0,0,0,15.153,0,0,41.410000000000004,0,0,0,Referansesituasjon
6,7,A,P3,,,Østmarkveien 26C,0,0,Andre,Eldre,2000,0,0,10.447303,63.451959,False,False,False,False,False,False,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],0,0,0,0,0,0,0,[51.2884 49.5936 50.491  ... 57.4002 56.979  56.3308],518000.0,37.0,57.0,250519.45239999998,0,0,267468.09,0,0,0,10.119,0,0,27.259999999999998,0,0,0,15.153,0,0,41.410000000000004,0,0,0,Referansesituasjon
7,8,A,P3,,,Østmarkveien 26B,0,0,Andre,Eldre,2000,0,0,10.447843,63.451992,False,False,False,False,True,False,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],0,0,0,0,0,0,0,[51.2884 49.5936 50.491  ... 57.4002 56.979  56.3308],518000.0,37.0,57.0,250519.45239999998,0,0,267468.09,0,0,0,10.119,0,0,27.259999999999998,0,0,0,15.153,0,0,41.410000000000004,0,0,0,Referansesituasjon
8,9,A,P3,,,Østmarkveien 26,0,0,Andre,Eldre,2000,0,0,10.448262,63.451855,False,False,False,False,False,False,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],0,0,0,0,0,0,0,[51.2884 49.5936 50.491  ... 57.4002 56.979  56.3308],518000.0,37.0,57.0,250519.45239999998,0,0,267468.09,0,0,0,10.119,0,0,27.259999999999998,0,0,0,15.153,0,0,41.410000000000004,0,0,0,Referansesituasjon
9,10,A,P3,,,Østmarkveien 28C,0,0,Andre,Eldre,2000,0,0,10.448161,63.452412,False,False,False,False,True,False,0,0,False,[31.9616 30.9568 31.9072 ... 37.087  36.8184 37.041 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],[30.378  29.4262 30.4124 ... 34.8862 34.9092 35.205 ],[1.5836 1.5306 1.4948 ... 2.2008 1.9092 1.836 ],[19.3268 18.6368 18.5838 ... 20.3132 20.1606 19.2898],0,0,0,0,0,0,0,[51.2884 49.5936 50.491  ... 57.4002 56.979  56.3308],518000.0,37.0,57.0,250519.45239999998,0,0,267468.09,0,0,0,10.119,0,0,27.259999999999998,0,0,0,15.153,0,0,41.410000000000004,0,0,0,Referansesituasjon
