,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,har_eksisterende_data,_termisk_energibehov,_elektrisk_energibehov,_romoppvarming_energibehov,_tappevann_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
0,1,A,P2,,,OMT72,520146,Annen forretningsbygning,Andre,Eldre,3774,0,4,10.733188,59.963944,True,True,False,False,False,True,False,[60.3115392 58.4154816 60.2088864 ... 69.983169  69.4763208 69.896367 ],[36.4696716 35.1676416 35.0676306 ... 38.3310084 38.0430522 36.3998526],[57.323286  55.5272394 57.3881988 ... 65.8302594 65.8736604 66.431835 ],[2.9882532 2.8882422 2.8206876 ... 4.1529096 3.6026604 3.464532 ],[36.4696716 35.1676416 35.0676306 ... 38.3310084 38.0430522 36.3998526],"[17.23186834 16.6901376  17.20253897 ... 19.99519114 19.85037737
 19.97039057]","[-43.07967086 -41.725344   -43.00634743 ... -49.98797786 -49.62594343
 -49.92597643]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],4009.0,2405400.0,"[53.70153994 51.8577792  52.27016957 ... 58.32619954 57.89342957
 56.37024317]",534100.0,40.0,6.0,472730.20667880005,320683.9856442857,0,504712.28583,128273.59425771429,23772.626776800003,122678.84667741203,24.2638008,17.331286285714285,0,110.844267,6.932514514285714,0.0,78.149493612,28.593711,20.424079285714285,0,78.14067,8.169631714285714,0.0,80.57961372599999,Referansesituasjon
1,31,A,P1,,,OMT62,562854,Studenthjem/studentboliger,Hus,Eldre,2012,0,5,10.732332,59.963686,True,True,False,False,False,True,True,[32.4  29.55 28.95 ... 32.8  31.9  29.8 ],[18.25 18.25 18.25 ... 18.25 18.25 18.25],[32.4  29.55 28.95 ... 32.8  31.9  29.8 ],"[45.44820832 45.68488653 48.62089472 ... 39.42040376 37.79661148
 34.49510024]",[18.25 18.25 18.25 ... 18.25 18.25 18.25],[9.25714286 8.44285714 8.27142857 ... 9.37142857 9.11428571 8.51428571],"[-23.14285714 -21.10714286 -20.67857143 ... -23.42857143 -22.78571429
 -21.28571429]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1417.0,850200.0,"[27.50714286 26.69285714 26.52142857 ... 27.62142857 27.36428571
 26.76428571]",160200.0,-9.0,-8.0,158663.0,113330.71428571429,0,157955.3,45332.28571428571,0.0,43051.56127558195,0.0,0.0,0,16.95,0.0,0.0,26.287278171199997,0.25,0.17857142857142858,0,18.25,0.07142857142857142,0.0,26.18417806,Referansesituasjon
2,32,A,E,,,OMT66,562855,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.732333,59.963363,True,True,False,False,False,True,True,[21.088 20.344 20.347 ... 16.131 18.063 16.03 ],[15.095 15.095 15.095 ... 15.095 15.095 15.095],[21.088 20.344 20.347 ... 16.131 18.063 16.03 ],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[15.095 15.095 15.095 ... 15.095 15.095 15.095],[6.02514286 5.81257143 5.81342857 ... 4.60885714 5.16085714 4.58      ],"[-15.06285714 -14.53142857 -14.53357143 ... -11.52214286 -12.90214286
 -11.45      ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1166.0,699600.0,"[21.12014286 20.90757143 20.90842857 ... 19.70385714 20.25585714
 19.675     ]",132000.0,-6.0,-9.0,130592.671,93280.4792857143,0,130512.388,37312.19171428571,0.0,35776.446547103886,2.737000000000002,1.9550000000000014,0,15.094999999999999,0.7820000000000005,0.0,21.8450939872,0.0,0.0,0,12.467,0.0,0.0,21.75941636,Referansesituasjon
3,35,A,P1,,,OMT64,562856,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731653,59.963381,True,True,False,False,False,True,True,[23.1 19.7 19.2 ... 20.8 24.9 24.7],[13.7 13.7 13.7 ... 13.7 13.7 13.7],[23.1 19.7 19.2 ... 20.8 24.9 24.7],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.7 13.7 13.7 ... 13.7 13.7 13.7],[6.6        5.62857143 5.48571429 ... 5.94285714 7.11428571 7.05714286],"[-16.5        -14.07142857 -13.71428571 ... -14.85714286 -17.78571429
 -17.64285714]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],1073.0,643800.0,"[20.3        19.32857143 19.18571429 ... 19.64285714 20.81428571
 20.75714286]",118500.0,-8.0,-8.0,120173.77699999999,85838.41214285715,0,119937.12299999996,34335.36485714286,0.0,35776.446547103886,0.9000000000000004,0.6428571428571431,0,13.7,0.25714285714285723,0.0,21.8450939872,1.623000000000001,1.1592857142857151,0,13.7,0.46371428571428597,0.0,21.75941636,Referansesituasjon
4,38,A,E,,,OMT58,562857,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.731008,59.963362,True,True,False,False,False,True,True,[24.7 22.7 21.5 ... 23.1 22.3 19.3],[13.8 13.8 13.8 ... 13.8 13.8 13.8],[24.7 22.7 21.5 ... 23.1 22.3 19.3],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.8 13.8 13.8 ... 13.8 13.8 13.8],[7.05714286 6.48571429 6.14285714 ... 6.6        6.37142857 5.51428571],"[-17.64285714 -16.21428571 -15.35714286 ... -16.5        -15.92857143
 -13.78571429]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],994.0,596400.0,"[20.85714286 20.28571429 19.94285714 ... 20.4        20.17142857
 19.31428571]",99100.0,-18.0,-17.0,111293.5,79495.35714285713,0,110569.80000000002,31798.142857142855,0.0,43222.740445663796,0.0,0.0,0,8.6,0.0,0.0,26.391800152,0.0,0.0,0,9.6,0.0,0.0,26.2882901,Referansesituasjon
5,40,A,P1,,,OMT56,562858,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730362,59.963353,True,True,False,False,False,True,True,[27.4 26.8 25.9 ... 21.5 22.3 24.5],[13.4 13.4 13.4 ... 13.4 13.4 13.4],[27.4 26.8 25.9 ... 21.5 22.3 24.5],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[13.4 13.4 13.4 ... 13.4 13.4 13.4],[7.82857143 7.65714286 7.4        ... 6.14285714 6.37142857 7.        ],"[-19.57142857 -19.14285714 -18.5        ... -15.35714286 -15.92857143
 -17.5       ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],981.0,588600.0,"[21.22857143 21.05714286 20.8        ... 19.54285714 19.77142857
 20.4       ]",97400.0,-17.0,-17.0,109831.79999999999,78451.28571428572,0,109275.40000000001,31380.514285714286,0.0,43222.740445663796,0.0,0.0,0,9.7,0.0,0.0,26.391800152,0.0,0.0,0,9.0,0.0,0.0,26.2882901,Referansesituasjon
6,42,A,E,,,OMT52,562859,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.730433,59.963675,True,True,False,False,False,True,True,[32.1 31.  30.8 ... 22.4 22.4 23.2],[12.7 12.7 12.7 ... 12.7 12.7 12.7],[32.1 31.  30.8 ... 22.4 22.4 23.2],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[12.7 12.7 12.7 ... 12.7 12.7 12.7],[9.17142857 8.85714286 8.8        ... 6.4        6.4        6.62857143],"[-22.92857143 -22.14285714 -22.         ... -16.         -16.
 -16.57142857]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],941.0,564600.0,"[21.87142857 21.55714286 21.5        ... 19.1        19.1
 19.32857143]",91400.0,-18.0,-17.0,105366.80000000002,75262.0,0,104519.69999999998,30104.800000000003,0.0,43222.740445663796,0.0,0.0,0,8.4,0.0,0.0,26.391800152,0.0,0.0,0,9.5,0.0,0.0,26.2882901,Referansesituasjon
7,44,A,P2,,,OMT54,562860,Studenthjem/studentboliger,Hus,Eldre,1616,0,4,10.73106,59.963685,True,True,False,False,False,True,True,[18.55 15.75 14.3  ... 15.   16.35 17.55],[10.85 10.85 10.85 ... 10.85 10.85 10.85],[18.55 15.75 14.3  ... 15.   16.35 17.55],"[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[10.85 10.85 10.85 ... 10.85 10.85 10.85],[5.3        4.5        4.08571429 ... 4.28571429 4.67142857 5.01428571],"[-13.25       -11.25       -10.21428571 ... -10.71428571 -11.67857143
 -12.53571429]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],816.0,489600.0,"[16.15       15.35       14.93571429 ... 15.13571429 15.52142857
 15.86428571]",73700.0,-18.0,-19.0,91340.4,65243.142857142855,0,90786.19999999998,26097.257142857146,0.0,43222.740445663796,0.0,0.0,0,8.2,0.0,0.0,26.391800152,0.0,0.0,0,7.4,0.0,0.0,26.2882901,Referansesituasjon
8,46,A,P2,,,OMT60,562861,Studenthjem/studentboliger,Hus,Eldre,1672,0,5,10.731766,59.963828,True,True,False,False,False,True,True,"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],"[12.86224855 10.96910374 10.6907001  ... 11.58159177 13.86450169
 13.75314023]","[34.08615624 34.2636649  36.46567104 ... 29.56530282 28.34745861
 25.87132518]",[7.62825996 7.62825996 7.62825996 ... 7.62825996 7.62825996 7.62825996],[3.67492816 3.13402964 3.05448574 ... 3.30902622 3.9612862  3.92946864],"[-9.18732039 -7.8350741  -7.63621435 ... -8.27256555 -9.90321549
 -9.82367159]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],597.0,358200.0,"[11.30318812 10.76228961 10.68274571 ... 10.93728618 11.58954616
 11.5577286 ]",50100.0,-14.0,-14.0,66913.63590027488,47795.45421448205,0,66781.86522629214,19118.18168579282,0.0,35776.446547103886,0.5011265669901297,0.35794754785009264,0,7.628259964183083,0.14317901914003706,0.0,21.8450939872,0.9036982424722,0.645498744623,0,7.628259964183083,0.25819949784919993,0.0,21.75941636,Referansesituasjon
9,58,A,E,,,OMT6,592797,Studenthjem/studentboliger,Hus,Eldre,1969,0,5,10.732976,59.964701,True,True,False,False,False,True,True,[3.4 3.4 3.4 ... 1.  0.  0. ],[2.8 2.8 2.8 ... 2.8 2.2 2.4],[3.4 3.4 3.4 ... 1.  0.  0. ],"[38.95560713 39.15847417 41.67505262 ... 33.78891751 32.39709556
 29.56722878]",[2.8 2.8 2.8 ... 2.8 2.2 2.4],[0.97142857 0.97142857 0.97142857 ... 0.28571429 0.         0.        ],"[-2.42857143 -2.42857143 -2.42857143 ... -0.71428571 -0.
 -0.        ]",[0. 0. 0. ... 0. 0. 0.],0,[-0. -0. -0. ... -0. -0. -0.],212.0,127200.0,[3.77142857 3.77142857 3.77142857 ... 3.08571429 2.2        2.4       ],-11900.0,-22.0,-24.0,23704.0,16931.42857142857,0,23413.6,6772.571428571429,0.0,42131.473236392085,2.0,1.4285714285714286,0,2.8,0.5714285714285714,0.0,25.725472524399997,0.0,0.0,0,1.4,0.0,0.0,25.624575845000003,Referansesituasjon
